10,100
66,4356
34,1156
56,3136
21,441
7,49
47,2209
58,3364
33,1089
26,676
63,3969
71,5041
91,8281
43,1849
66,4356
11,121
31,961
5,25
21,441
65,4225
7,49
43,1849
62,3844
24,576
75,5625
88,7744
55,3025
29,841
1,1
90,8100
37,1369
89,7921
27,729
8,64
56,3136
38,1444
65,4225
16,256
13,169
44,1936
89,7921
68,4624
54,2916
77,5929
66,4356
79,6241
62,3844
75,5625
63,3969
5,25
30,900
66,4356
27,729
55,3025
66,4356
72,5184
33,1089
9,81
29,841
15,225
92,8464
24,576
54,2916
64,4096
54,2916
47,2209
59,3481
22,484
43,1849
55,3025
93,864
57,3249
5,25
64,4096
37,1369
73,5329
57,3249
46,2116
12,144
26,676
43,1849
49,2401
62,3844
24,576
66,4356
56,3136
25,625
8,64
77,5929
67,4489
2,4
7,49
87,7569
12,144
24,576
64,4096
92,8464
62,3844
47,2209
61,3721
